témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
originaires          ==> originating : 0.0961505   free : 0.0961505          forward : 0.0961505      
maison               ==> their : 0.0743558         water : 0.0743558         through : 0.0743558      
décerné              ==> awarded : 0.597365        was : 0.195339            sakharov : 0.097167      
pardonnez            ==> will : 0.103745           easy : 0.0657882          hence : 0.0657882        
retrouvons           ==> sentiments : 0.142857     particular : 0.142857     j : 0.142857             
gill                 ==> gill : 0.47278            thank : 0.199866          these : 0.183982         
tâche                ==> job : 0.295057            as : 0.268808             task : 0.232646          
détaillée            ==> horrors : 0.144644        detail : 0.144644         all : 0.144644           
représenté           ==> represented : 0.339677    say : 0.232775            various : 0.0443953      
cigarette            ==> a : 0.455326              dangers : 0.136082        cigarettes : 0.136082    
75                   ==> reads : 0.241631          75 : 0.241631             2759 : 0.241631          
fiables              ==> achieved : 0.145972       tests : 0.145972          teams : 0.145972         
agisse               ==> similarly : 0.426504      do : 0.186283             italy : 0.0578283        
70                   ==> remain : 0.0895592        period : 0.0895592        force : 0.0895592        
infrastructures      ==> infrastructure : 0.479915 road : 0.295773           at : 0.223879            
détaillés            ==> set : 0.204847            establishes : 0.204847    detailed : 0.204847      
79                   ==> eur : 0.257749            million : 0.248234        plan : 0.0705737         
professionnels       ==> make : 0.607315           have : 0.27939            reason : 0.00504152      
interlocuteurs       ==> true : 0.13219            selecting : 0.13219       pluralism : 0.13219      
aimé                 ==> have : 0.361024           a : 0.344125              with : 0.294044          
morillon             ==> morillon : 0.638888       s : 0.242211              makes : 0.0297381        
régions              ==> regions : 0.538755        on : 0.293511             european : 0.138783      
gramm                ==> demand : 0.116671         produced : 0.116671       leach : 0.116671         
institutions         ==> institutions : 1          of : 1.79204e-07          the : 3.79209e-09        
kosovo               ==> kosovo : 0.976785         out : 0.0224703           would : 0.000744541      
fond                 ==> matter : 0.317344         like : 0.293526           it : 0.0668912           
européennes          ==> european : 0.892584       that : 0.100337           in : 0.00689584          
bureaucratiques      ==> freedom : 0.0769271       prejudices : 0.0769271    denied : 0.0769271       
réparations          ==> make : 0.227808           way : 0.227808            repairs : 0.227808       
font                 ==> are : 0.900989            as : 0.060234             way : 0.0386711          
souhaiter            ==> into : 0.131156           will : 0.104893           great : 0.065578         
infiniment           ==> how : 0.160012            trading : 0.0800059       acting : 0.0800059       
intéressantes        ==> sapard : 0.141806         open : 0.141806           excellent : 0.141806     
souhaitez            ==> want : 0.386432           do : 0.349076             a : 0.220617             
reçoivent            ==> on : 0.390486             be : 0.314982             for : 0.286922           
acquérir             ==> study : 0.100368          consequence : 0.100368    lament : 0.100368        
relatifs             ==> we : 0.4215               have : 0.269093           with : 0.113646          
afsa                 ==> trust : 0.15633           french : 0.15633          relation : 0.15633       
b                    ==> sittings : 0.280792       b : 0.280792              29 : 0.280792            
mieux                ==> better : 0.669816         than : 0.314423           to : 0.0157415           
banques              ==> banks : 0.679324          have : 0.320241           continuation : 0.000435055
préparé              ==> reached : 0.139431        style : 0.139431          said : 0.139431          
redéposé             ==> tabled : 0.166105         mail : 0.166105           re : 0.166105            
fraternité           ==> travelling : 0.063677     trace : 0.063677          rediscovered : 0.063677  
circonstances        ==> taxes : 0.0999844         instruments : 0.0499922   industries : 0.0499922   
établies             ==> established : 0.0855436   present : 0.0855436       occupation : 0.0855436   
mélanges             ==> reason : 0.0880461        incentive : 0.0880461     ultimately : 0.0880461   
tourner              ==> various : 0.125324        though : 0.125324         sorry : 0.125324         
accueillir           ==> welcome : 0.279679        democratically : 0.127089 beginning : 0.127089     
intimement           ==> resale : 0.110618         persuading : 0.110618     firmly : 0.110618        
art                  ==> undermine : 0.183379      maintain : 0.183379       art : 0.183379           
intelligence         ==> his : 0.151312            transformed : 0.0771534   themselves : 0.0771534   
désastreuses         ==> may : 0.39553             otherwise : 0.0659239     characteristics : 0.0659239
